Period,start,end,Strategy return (%),Buy-and-hold return (%),Strategy maximum drawdown (%),Buy-and-hold maximum drawdown (%),Return difference (pp),Drawdown reduction (pp)
2021,2021-01-04,2021-12-31,32.58690851058772,41.60960427624174,-6.253768075814303,-7.885498259671708,-9.02269576565402,1.631730183857405
2022,2022-01-03,2022-12-30,-6.956655276225032,-25.12916493381342,-16.146704234076957,-27.082462683592546,18.172509657588385,10.935758449515587
2023,2023-01-03,2023-12-29,19.748014131318037,47.057043338225604,-8.116654422337533,-10.548339913084604,-27.309029206907564,2.431685490747071
2024,2024-01-02,2024-12-31,18.726156504984836,25.76526269912791,-5.549802574253548,-11.143448968395553,-7.039106194143074,5.593646394142004
2025 (partial),2025-01-02,2025-10-29,10.31264642360692,19.038840446099204,-19.89696684732816,-21.80561314996481,-8.726194022492283,1.9086463026366518
