Date,close,high,low,open,volume,symbol,rsi,macd,macd_signal,macd_hist,ema_20,ema_50,target_date,future_return,signal,predicted_signal,equity,trade_count,benchmark_equity
2024-04-19,163.8235626220703,165.21357466916862,162.9101239696921,165.02494208062998,68149400,AAPL,37.902486676527936,-1.8593958289054344,-1.700067707236519,-0.1593281216689155,169.31234821179862,173.36651661282912,2024-04-26,0.0260605545222529,1,1,3333.3333333333335,0,3333.3333333333335
2024-04-22,164.65756225585938,166.06743588145892,163.59519920100377,164.33985172403135,48116400,AAPL,39.78431224757782,-2.010534030353313,-1.7621609718598776,-0.2483730584934349,168.86903526361394,173.02498899098717,2024-04-29,0.0461892403279102,1,0,3334.7736825044567,1,3334.7736825044567
2024-04-23,165.7100067138672,165.85894631264824,163.74412823991457,164.17107024309314,49537800,AAPL,42.166113628053594,-2.022079399163971,-1.8141446573206963,-0.2079347418432746,168.5681754017333,172.73812694090404,2024-04-30,0.0205511598511634,1,0,3356.088610484555,1,3356.088610484555
2024-04-24,167.8148956298828,168.09289802448964,165.02493328758231,165.35256706337344,48251800,AAPL,46.706422951509765,-1.8401699096421569,-1.8193497077849885,-0.0208202018571681,168.49643447108087,172.5450590463542,2024-05-01,0.0016565864245019,0,-1,3398.7184664447504,1,3398.7184664447504
2024-04-25,168.67869567871094,169.39356334150216,166.9510963019663,168.3212618473153,50558300,AAPL,48.49346243010809,-1.607770506154225,-1.7770338674588355,0.169263361304611,168.51379268133135,172.39343695350544,2024-05-02,0.0184825637496746,0,1,3403.862034765182,2,3416.2128203651732
2024-04-26,168.0928955078125,170.1183436596222,167.97374080476908,168.66876193087458,44838400,AAPL,47.334269019279446,-1.454099528380311,-1.7124469996431309,0.2583474712628195,168.47370723623433,172.22478826936063,2024-05-03,0.0831660938100256,1,1,3387.158187868989,3,3404.348737316967
2024-04-29,172.26296997070312,174.77493022282954,171.8658279731322,172.13389200399433,68169400,AAPL,55.490736632415555,-0.9844755911658184,-1.5668527179476683,0.58237712678185,168.83458940142182,172.22628559098192,2024-05-06,0.047319854880133,1,1,3471.1873303162783,3,3488.804345564846
2024-04-30,169.11553955078125,173.74231713050509,168.78789065093028,172.09414938579766,65934800,AAPL,49.28636504506739,-0.8563945844967691,-1.4247610912574886,0.5683665067607195,168.86134655850367,172.10429555018973,2024-05-07,0.0708625774102611,1,1,3407.7649906309534,3,3425.060123993292
2024-05-01,168.0928955078125,171.47858587357683,167.90424778215495,168.37089789825708,50383100,AAPL,47.43073990328059,-0.8278651771781256,-1.305381908441616,0.4775167312634905,168.78816074415212,171.9469857446063,2024-05-08,0.0793858209448394,1,1,3387.158187868989,3,3404.348737316967
2024-05-02,171.7963104248047,172.18352915382397,169.67156903864844,171.2800137361139,94214900,AAPL,54.16139603822792,-0.5006496062461565,-1.1444354480025245,0.6437858417563678,169.07465118992857,171.94107690853565,2024-05-09,0.0666937091138051,1,1,3461.78390075989,3,3479.353191600029
2024-05-03,182.0725250244141,185.6667099628623,181.3576573355521,185.31919936550048,163224100,AAPL,66.8460007752688,0.5811762889684928,-0.799313100608321,1.3804893895768138,170.31254393607003,172.3383885993544,2024-05-10,-0.0004457646699442,0,1,3668.854903470698,3,3687.475123766713
2024-05-06,180.4144287109375,182.88666551151155,179.1336178251023,181.0498649554619,78569700,AAPL,63.77919776750557,1.2898677968055663,-0.3814769211255435,1.67134471793111,171.27462820034313,172.6550960547106,2024-05-13,0.0265404731537834,1,1,3635.443411048601,3,3653.8940609021515
2024-05-07,181.09950256347656,183.5816778461448,180.02721617336002,182.14201921219637,77305800,AAPL,64.50380812219817,1.885060849053616,0.0718306329102884,1.8132302161433276,172.21033052064155,172.98624925113282,2024-05-14,0.0289704619870165,1,1,3649.2480010755175,3,3667.7687121645654
2024-05-08,181.4370880126953,181.7647369645701,180.15627709627628,181.5463043299869,45057100,AAPL,64.87669139432992,2.356827910449965,0.5288300884182238,1.8279978220317417,173.08906932940857,173.31765469276272,2024-05-15,0.0396044425116484,1,1,3656.0505212830035,3,3674.6057566114023
2024-05-09,183.25404357910156,183.34339825305352,180.811576441112,181.25836496086745,48983000,AAPL,66.89255907198185,2.844529865155323,0.9919700437656436,1.8525598213896792,174.05716211509363,173.70731700203092,2024-05-16,0.0299477832029126,1,0,3692.6631092520233,3,3711.40416126479
2024-05-10,181.99136352539065,184.01955884654,181.07668601424152,183.83065525294157,50759500,AAPL,64.1376130645802,3.09348962748993,1.412273960510501,1.6812156669794291,174.81280034464572,174.03218157157443,2024-05-17,0.0372576105983524,1,0,3667.219457575579,3,3685.831377635239
