Date,close,high,low,open,volume,symbol,rsi,macd,macd_signal,macd_hist,ema_20,ema_50,target_date,future_return,signal
2018-03-14,42.00025177001953,42.4898314572597,41.8519645959978,42.44275724707992,117473600,AAPL,57.98589483037364,0.6438932329179536,0.5547260448880103,0.08916718802994339,41.32963641197848,40.705547304719566,2018-03-21,-0.040181509473925514,-1
2018-03-15,42.049678802490234,42.42392721680228,41.91316466923111,42.01437404242875,90975200,AAPL,58.34284809747712,0.6198964904366804,0.5677601339977443,0.052136356438936104,41.3982118777415,40.75825834384783,2018-03-22,-0.05485594713124864,-1
2018-03-16,41.90140151977539,42.16031151273563,41.80724949289955,42.049685125864386,157618800,AAPL,56.784233371547025,0.5822028891258171,0.5706486850233589,0.011554204102458221,41.44613470079235,40.80308748800185,2018-03-23,-0.07347489362221249,-1
2018-03-19,41.261173248291016,41.77193576305772,40.87515899977217,41.73663100526373,133787200,AAPL,50.50983599823243,0.49496373380230807,0.5555116947791487,-0.060547960976840676,41.42851932436365,40.82105163546417,2018-03-26,-0.01443229238943311,0
2018-03-20,41.24705123901367,41.61423508525341,41.17643813207561,41.24705123901367,78597600,AAPL,50.37760657256867,0.4198468138338143,0.5283787185900819,-0.10853190475626762,41.411236649568416,40.83775750227004,2018-03-27,-0.039374374518331146,-1
2018-03-21,40.312618255615234,41.21174757208427,40.31026221047947,41.1999781210021,148219600,AAPL,42.45731715231782,0.28166828454085646,0.47903663178023687,-0.1973683472393804,41.30660632633478,40.81716380632279,2018-03-28,-0.027967835229407823,-1
2018-03-22,39.743003845214844,40.64448542985486,39.68416019344019,40.01368320676567,165963200,AAPL,38.48526042340619,0.1247595318772241,0.40818121179963435,-0.28342167992241024,41.157691804323356,40.775039886279345,2018-03-29,-0.006337063596198678,0
2018-03-23,38.82270050048828,39.99486540749828,38.82270050048828,39.63474243250405,164115200,AAPL,33.097665094710635,-0.07301094892719817,0.31194277965426787,-0.38495372858146604,40.93531168014859,40.698477557424795,2018-04-02,0.010548938218190695,0
2018-03-26,40.665679931640625,40.74335399835745,39.17575794250631,39.559419777386694,150164800,AAPL,48.61208951674879,-0.08010899551763373,0.23353242461988755,-0.3136414201375213,40.90963246600497,40.69719137602149,2018-04-03,-0.025351904980964846,-1
2018-03-27,39.62297439575195,41.2258754577057,39.288742767415684,40.87987437657977,163690400,AAPL,42.593877967150505,-0.16793600929307928,0.1532387378372942,-0.3211747471303735,40.78709360217135,40.655065219932496,2018-04-04,0.019424805705249737,0
2018-03-28,39.18516159057617,40.01838966857184,38.881529943140286,39.366401034450234,166674000,AAPL,40.3358671280779,-0.2697577850651456,0.06863943325680624,-0.3383972183219518,40.6345286486861,40.597421940349896,2018-04-05,0.03796292014674618,1
2018-03-29,39.49114990234375,40.425587346973295,39.28401910609397,39.49821085298578,153594000,AAPL,42.6251601653213,-0.32204919380465213,-0.00949829215548543,-0.3125509016491667,40.525635434748736,40.554038723173186,2018-04-06,0.0035761866270596077,0
